행정구역별(1),특성별(1),재배면적규모별농가:계 (가구),재배면적 (ha)
전라남도 고흥군,유자(노지),1365,539.6
전라남도 완도군,유자(노지),354,158.7
경상남도 거제시,유자(노지),551,93.9
전국,유자(노지),2270,792.2
